competencia,uf,tipo_estabelecimento,natureza_juridica,qtd_estabelecimentos
2018-01,BR,Hospital Geral,P<c3><ba>blico,1097
2018-01,SP,Hospital Geral,P<c3><ba>blico,248
2018-01,RJ,Hospital Geral,P<c3><ba>blico,102
2018-01,MG,Hospital Geral,P<c3><ba>blico,109
2018-01,BA,Hospital Geral,P<c3><ba>blico,77
2018-01,RS,Hospital Geral,P<c3><ba>blico,66
2018-01,BR,Hospital Geral,Filantr<c3><b3>pico,707
2018-01,SP,Hospital Geral,Filantr<c3><b3>pico,154
2018-01,RJ,Hospital Geral,Filantr<c3><b3>pico,63
2018-01,MG,Hospital Geral,Filantr<c3><b3>pico,70
2018-01,BA,Hospital Geral,Filantr<c3><b3>pico,48
2018-01,RS,Hospital Geral,Filantr<c3><b3>pico,42
2018-01,BR,Hospital Geral,Privado,994
2018-01,SP,Hospital Geral,Privado,220
2018-01,RJ,Hospital Geral,Privado,86
2018-01,MG,Hospital Geral,Privado,100
2018-01,BA,Hospital Geral,Privado,70
2018-01,RS,Hospital Geral,Privado,59
2018-04,BR,Hospital Geral,P<c3><ba>blico,1162
2018-04,SP,Hospital Geral,P<c3><ba>blico,253
2018-04,RJ,Hospital Geral,P<c3><ba>blico,100
2018-04,MG,Hospital Geral,P<c3><ba>blico,109
2018-04,BA,Hospital Geral,P<c3><ba>blico,77
2018-04,RS,Hospital Geral,P<c3><ba>blico,67
2018-04,BR,Hospital Geral,Filantr<c3><b3>pico,702
2018-04,SP,Hospital Geral,Filantr<c3><b3>pico,157
2018-04,RJ,Hospital Geral,Filantr<c3><b3>pico,62
2018-04,MG,Hospital Geral,Filantr<c3><b3>pico,69
2018-04,BA,Hospital Geral,Filantr<c3><b3>pico,50
2018-04,RS,Hospital Geral,Filantr<c3><b3>pico,41
2018-04,BR,Hospital Geral,Privado,975
2018-04,SP,Hospital Geral,Privado,214
2018-04,RJ,Hospital Geral,Privado,85
2018-04,MG,Hospital Geral,Privado,98
2018-04,BA,Hospital Geral,Privado,69
2018-04,RS,Hospital Geral,Privado,60
2018-07,BR,Hospital Geral,P<c3><ba>blico,1117
2018-07,SP,Hospital Geral,P<c3><ba>blico,247
2018-07,RJ,Hospital Geral,P<c3><ba>blico,100
2018-07,MG,Hospital Geral,P<c3><ba>blico,112
2018-07,BA,Hospital Geral,P<c3><ba>blico,78
2018-07,RS,Hospital Geral,P<c3><ba>blico,68
2018-07,BR,Hospital Geral,Filantr<c3><b3>pico,702
2018-07,SP,Hospital Geral,Filantr<c3><b3>pico,155
2018-07,RJ,Hospital Geral,Filantr<c3><b3>pico,65
2018-07,MG,Hospital Geral,Filantr<c3><b3>pico,70
2018-07,BA,Hospital Geral,Filantr<c3><b3>pico,49
2018-07,RS,Hospital Geral,Filantr<c3><b3>pico,42
2018-07,BR,Hospital Geral,Privado,969
2018-07,SP,Hospital Geral,Privado,218
2018-07,RJ,Hospital Geral,Privado,87
2018-07,MG,Hospital Geral,Privado,98
2018-07,BA,Hospital Geral,Privado,69
2018-07,RS,Hospital Geral,Privado,60
2018-10,BR,Hospital Geral,P<c3><ba>blico,1143
2018-10,SP,Hospital Geral,P<c3><ba>blico,251
2018-10,RJ,Hospital Geral,P<c3><ba>blico,101
2018-10,MG,Hospital Geral,P<c3><ba>blico,115
2018-10,BA,Hospital Geral,P<c3><ba>blico,79
