cod_subgrupo,nome_subgrupo,competencia,grupo_did,tratado,pos_2023,pos_2024,pos_2025,did_2023,did_2024,tempo,data,qtd_aprovada,valor_total_real,log_qtd
0201,Anatomia patol<c3><b3>gica,2018-01,controle,0,0,0,0,0,0,1,2018-01-01,2136636,45564719.51,14.57474365557697
0201,Anatomia patol<c3><b3>gica,2018-02,controle,0,0,0,0,0,0,2,2018-02-01,2270181,45771185.42,14.6353705624551
0201,Anatomia patol<c3><b3>gica,2018-03,controle,0,0,0,0,0,0,3,2018-03-01,2246256,48670429.97,14.624775833380003
0201,Anatomia patol<c3><b3>gica,2018-04,controle,0,0,0,0,0,0,4,2018-04-01,2265077,48302737.98,14.633119753392421
0201,Anatomia patol<c3><b3>gica,2018-05,controle,0,0,0,0,0,0,5,2018-05-01,2311211,46666114.04,14.65328262022868
0201,Anatomia patol<c3><b3>gica,2018-06,controle,0,0,0,0,0,0,6,2018-06-01,2353682,46508851.23,14.671491893333275
0201,Anatomia patol<c3><b3>gica,2018-07,controle,0,0,0,0,0,0,7,2018-07-01,2235722,49614884.75,14.620075223651105
0201,Anatomia patol<c3><b3>gica,2018-08,controle,0,0,0,0,0,0,8,2018-08-01,2260197,50901239.64,14.630962978030352
0201,Anatomia patol<c3><b3>gica,2018-09,controle,0,0,0,0,0,0,9,2018-09-01,2225190,46933455.67,14.615353312594834
0201,Anatomia patol<c3><b3>gica,2018-10,controle,0,0,0,0,0,0,10,2018-10-01,2196021,43563913.22,14.602158099776313
0201,Anatomia patol<c3><b3>gica,2018-11,controle,0,0,0,0,0,0,11,2018-11-01,2275776,48862982.61,14.637832090517742
0201,Anatomia patol<c3><b3>gica,2018-12,controle,0,0,0,0,0,0,12,2018-12-01,2237187,46570042,14.620730278067517
0201,Anatomia patol<c3><b3>gica,2019-01,controle,0,0,0,0,0,0,13,2019-01-01,2260120,45846111.05,14.630928909638273
0201,Anatomia patol<c3><b3>gica,2019-02,controle,0,0,0,0,0,0,14,2019-02-01,2218148,45422286.69,14.612183622273644
0201,Anatomia patol<c3><b3>gica,2019-03,controle,0,0,0,0,0,0,15,2019-03-01,2285605,44729949.23,14.642141755026511
0201,Anatomia patol<c3><b3>gica,2019-04,controle,0,0,0,0,0,0,16,2019-04-01,2264514,46099108.31,14.63287116593527
0201,Anatomia patol<c3><b3>gica,2019-05,controle,0,0,0,0,0,0,17,2019-05-01,2304944,44091730.35,14.650567372956838
0201,Anatomia patol<c3><b3>gica,2019-06,controle,0,0,0,0,0,0,18,2019-06-01,2328603,45046390.11,14.660779504353911
0201,Anatomia patol<c3><b3>gica,2019-07,controle,0,0,0,0,0,0,19,2019-07-01,2325620,44940755.05,14.659497658113795
0201,Anatomia patol<c3><b3>gica,2019-08,controle,0,0,0,0,0,0,20,2019-08-01,2326245,46541167.1,14.659766367431477
0201,Anatomia patol<c3><b3>gica,2019-09,controle,0,0,0,0,0,0,21,2019-09-01,2281358,45723238.47,14.64028187599339
0201,Anatomia patol<c3><b3>gica,2019-10,controle,0,0,0,0,0,0,22,2019-10-01,2203064,44515134.37,14.605360130569364
0201,Anatomia patol<c3><b3>gica,2019-11,controle,0,0,0,0,0,0,23,2019-11-01,2280803,48088158.63,14.640038570349668
0201,Anatomia patol<c3><b3>gica,2019-12,controle,0,0,0,0,0,0,24,2019-12-01,2237021,45593576.57,14.620656075023819
0201,Anatomia patol<c3><b3>gica,2020-01,controle,0,0,0,0,0,0,25,2020-01-01,2306858,45925451.89,14.65139741695259
0201,Anatomia patol<c3><b3>gica,2020-02,controle,0,0,0,0,0,0,26,2020-02-01,2269923,45947909.23,14.6352569087209
0201,Anatomia patol<c3><b3>gica,2020-03,controle,0,0,0,0,0,0,27,2020-03-01,1049203,20143378.49,13.863542339396105
0201,Anatomia patol<c3><b3>gica,2020-04,controle,0,0,0,0,0,0,28,2020-04-01,1084510,22537619.09,13.896639752120633
0201,Anatomia patol<c3><b3>gica,2020-05,controle,0,0,0,0,0,0,29,2020-05-01,1045042,22377492.78,13.859568590859839
0201,Anatomia patol<c3><b3>gica,2020-06,controle,0,0,0,0,0,0,30,2020-06-01,1604136,30622617.87,14.288096475232566
0201,Anatomia patol<c3><b3>gica,2020-07,controle,0,0,0,0,0,0,31,2020-07-01,1498865,29214842.66,14.22021938016033
0201,Anatomia patol<c3><b3>gica,2020-08,controle,0,0,0,0,0,0,32,2020-08-01,1537715,29233417.1,14.245808756600201
0201,Anatomia patol<c3><b3>gica,2020-09,controle,0,0,0,0,0,0,33,2020-09-01,1885230,37067155.48,14.449560917775147
0201,Anatomia patol<c3><b3>gica,2020-10,controle,0,0,0,0,0,0,34,2020-10-01,1833451,35068280.86,14.421711086712598
0201,Anatomia patol<c3><b3>gica,2020-11,controle,0,0,0,0,0,0,35,2020-11-01,1826821,35378353.12,14.418088403137041
0201,Anatomia patol<c3><b3>gica,2020-12,controle,0,0,0,0,0,0,36,2020-12-01,1895756,36864004.38,14.455128789026363
