competencia,uf,cod_subgrupo,nome_subgrupo,qtd_aprovada,valor_total,deflator,valor_total_real,valor_medio,valor_medio_real,grupo_did,tratado,pos_2023,pos_2024,pos_2025,did_2023,did_2024,ano,mes,tempo,data,sistema
2018-01,BR,0301,Consultas/Atend.,846639,226919413.82,1.4400473769328803,326774706.65,268.02381395140077,385.96699024023224,controle,0,0,0,0,0,0,2018,1,1,2018-01-01,SIH
2018-02,BR,0301,Consultas/Atend.,853937,240015537.3,1.435453924374881,344531244.93,281.0693731504783,403.46213471251394,controle,0,0,0,0,0,0,2018,2,2,2018-02-01,SIH
2018-03,BR,0301,Consultas/Atend.,869025,250967092.61,1.4341631775151176,359927762.99,288.7915682632836,414.1742331808636,controle,0,0,0,0,0,0,2018,3,3,2018-03-01,SIH
2018-04,BR,0301,Consultas/Atend.,889765,260051871.11,1.4310149446369165,372138113.94,292.27028609801465,418.2431472804617,controle,0,0,0,0,0,0,2018,4,4,2018-04-01,SIH
2018-05,BR,0301,Consultas/Atend.,933199,259325175.18,1.4253136898774068,369619722.31,277.8883980587206,396.07813800700603,controle,0,0,0,0,0,0,2018,5,5,2018-05-01,SIH
2018-06,BR,0301,Consultas/Atend.,941916,243559972.64,1.407578204500698,342829708.98,258.57929225111366,363.9705759112278,controle,0,0,0,0,0,0,2018,6,6,2018-06-01,SIH
2018-07,BR,0301,Consultas/Atend.,893988,270543795.86,1.4029484745347331,379559005.7,302.62575768354833,424.5683451008291,controle,0,0,0,0,0,0,2018,7,7,2018-07-01,SIH
2018-08,BR,0301,Consultas/Atend.,852694,260083114.03,1.4042122655737497,365211898.79,305.013421027942,428.3035869725834,controle,0,0,0,0,0,0,2018,8,8,2018-08-01,SIH
2018-09,BR,0301,Consultas/Atend.,825445,226049264.05,1.3975042451968052,315904806.13,273.851394157091,382.708485883372,controle,0,0,0,0,0,0,2018,9,9,2018-09-01,SIH
2018-10,BR,0301,Consultas/Atend.,874364,261274161.61,1.391243648777307,363496017.93,298.8162385573972,415.72619404504303,controle,0,0,0,0,0,0,2018,10,10,2018-10-01,SIH
2018-11,BR,0301,Consultas/Atend.,842520,230626423.46,1.394171408735652,321532765.69,273.7340638323126,381.6322053957176,controle,0,0,0,0,0,0,2018,11,11,2018-11-01,SIH
2018-12,BR,0301,Consultas/Atend.,834199,249127942.63,1.392083283809937,346806844.47,298.6433004954453,415.73634644731055,controle,0,0,0,0,0,0,2018,12,12,2018-12-01,SIH
2019-01,BR,0301,Consultas/Atend.,768729,232747832.44,1.387642826764291,322970860.13,302.76967883350306,420.1361729946444,controle,0,0,0,0,0,0,2019,1,13,2019-01-01,SIH
2019-02,BR,0301,Consultas/Atend.,853919,236025951.62,1.3817015102701298,326117413.82,276.40320875867616,381.90673098970746,controle,0,0,0,0,0,0,2019,2,14,2019-02-01,SIH
2019-03,BR,0301,Consultas/Atend.,823350,227391213.88,1.3714158910869771,311847924.21,276.178069933807,378.7549938786664,controle,0,0,0,0,0,0,2019,3,15,2019-03-01,SIH
2019-04,BR,0301,Consultas/Atend.,939198,270337635.7,1.3636431252729215,368644058.42,287.8388110920168,392.509415927206,controle,0,0,0,0,0,0,2019,4,16,2019-04-01,SIH
2019-05,BR,0301,Consultas/Atend.,962218,260445397.2,1.361872690774914,354693473.88,270.6719238259937,368.6207012132386,controle,0,0,0,0,0,0,2019,5,17,2019-05-01,SIH
2019-06,BR,0301,Consultas/Atend.,906936,268401175.12,1.3617365171232017,365491681.4,295.94279543429747,402.9961115227535,controle,0,0,0,0,0,0,2019,6,18,2019-06-01,SIH
2019-07,BR,0301,Consultas/Atend.,865095,250814832.77,1.3591541242870564,340896014.39,289.9275024939458,394.0561607569111,controle,0,0,0,0,0,0,2019,7,19,2019-07-01,SIH
2019-08,BR,0301,Consultas/Atend.,873244,245213136.49,1.3576606975197845,332916237.93,280.80712434325346,381.2407963066451,controle,0,0,0,0,0,0,2019,8,20,2019-08-01,SIH
2019-09,BR,0301,Consultas/Atend.,890334,262234060.81,1.358203979111429,356167344.85,294.53447898204496,400.03790133814954,controle,0,0,0,0,0,0,2019,9,21,2019-09-01,SIH
2019-10,BR,0301,Consultas/Atend.,862064,226387092.88,1.3568471319794495,307172677.69,262.61054037751256,356.32235853718515,controle,0,0,0,0,0,0,2019,10,22,2019-10-01,SIH
2019-11,BR,0301,Consultas/Atend.,827611,240685392.34,1.349962324126405,324916211.63,290.8194699442129,392.59532755122876,controle,0,0,0,0,0,0,2019,11,23,2019-11-01,SIH
2019-12,BR,0301,Consultas/Atend.,820732,213281022.52,1.334614260134854,284647894.07,259.8668292694814,346.8219760774528,controle,0,0,0,0,0,0,2019,12,24,2019-12-01,SIH
2020-01,BR,0301,Consultas/Atend.,825818,217235536.79,1.3318174435034964,289318077.25,263.05497917216627,350.3412098670651,controle,0,0,0,0,0,0,2020,1,25,2020-01-01,SIH
2020-02,BR,0301,Consultas/Atend.,878326,239807097.53,1.3284962029960066,318582818.52,273.0274380241505,362.7159147286998,controle,0,0,0,0,0,0,2020,2,26,2020-02-01,SIH
2020-03,BR,0301,Consultas/Atend.,488286,138951461.15,1.3275669061616937,184467361.39,284.56982413995075,377.7854810295605,controle,0,0,0,0,0,0,2020,3,27,2020-03-01,SIH
2020-04,BR,0301,Consultas/Atend.,485681,139951595.63,1.3316951611612935,186372862.7,288.15538518080797,383.7351321134654,controle,0,0,0,0,0,0,2020,4,28,2020-04-01,SIH
2020-05,BR,0301,Consultas/Atend.,522116,138406367.89,1.3367749058033465,185018159.4,265.0873903308843,354.3621712416398,controle,0,0,0,0,0,0,2020,5,29,2020-05-01,SIH
2020-06,BR,0301,Consultas/Atend.,493900,132904651.75,1.333308304212394,177202875.85,269.0922286900182,358.78290311804005,controle,0,0,0,0,0,0,2020,6,30,2020-06-01,SIH
2020-07,BR,0301,Consultas/Atend.,707427,186534293.06,1.328525612009161,247815585.85,263.6799175886699,350.3055238915111,controle,0,0,0,0,0,0,2020,7,31,2020-07-01,SIH
2020-08,BR,0301,Consultas/Atend.,718097,210480895.26,1.325344784526298,278959756.78,293.1092808631703,388.4708566948476,controle,0,0,0,0,0,0,2020,8,32,2020-08-01,SIH
2020-09,BR,0301,Consultas/Atend.,662808,194641907.45,1.3169165188059402,256327143.17,293.6625801891347,386.7291028020181,controle,0,0,0,0,0,0,2020,9,33,2020-09-01,SIH
2020-10,BR,0301,Consultas/Atend.,749943,198105566.16,1.3056876053995046,258663982.3,264.16083110316384,344.91152300908203,controle,0,0,0,0,0,0,2020,10,34,2020-10-01,SIH
2020-11,BR,0301,Consultas/Atend.,713208,217369764.59,1.2941694968772963,281313318.88,304.7775187462844,394.4337681013113,controle,0,0,0,0,0,0,2020,11,35,2020-11-01,SIH
2020-12,BR,0301,Consultas/Atend.,765242,224263175.55,1.2769309293313236,286368585.17,293.06177072089616,374.21963923830634,controle,0,0,0,0,0,0,2020,12,36,2020-12-01,SIH
2021-01,BR,0301,Consultas/Atend.,691445,197822758.39,1.2737465629240137,251976058.57,286.100497349753,364.41952515384446,controle,0,0,0,0,0,0,2021,1,37,2021-01-01,SIH
2021-02,BR,0301,Consultas/Atend.,724608,200972179.48,1.2628857455126057,253804900.71,277.3529680599717,350.265109838699,controle,0,0,0,0,0,0,2021,2,38,2021-02-01,SIH
2021-03,BR,0301,Consultas/Atend.,725015,182759843.41,1.2512491286164722,228678094.81,252.07732724150534,315.41153605097827,controle,0,0,0,0,0,0,2021,3,39,2021-03-01,SIH
2021-04,BR,0301,Consultas/Atend.,807470,240965810.52,1.2473822436611226,300576473.37,298.42075930994343,372.24475630054366,controle,0,0,0,0,0,0,2021,4,40,2021-04-01,SIH
2021-05,BR,0301,Consultas/Atend.,823244,233895681.21,1.2371141958356864,289355667.57,284.1146503466773,351.4822671893145,controle,0,0,0,0,0,0,2021,5,41,2021-05-01,SIH
2021-06,BR,0301,Consultas/Atend.,844775,231568447.84,1.2305920579286644,284966292.78,274.11849053298215,337.32803738273503,controle,0,0,0,0,0,0,2021,6,42,2021-06-01,SIH
2021-07,BR,0301,Consultas/Atend.,988728,262089365.91,1.2188907071401192,319458292.55,265.07731743209456,323.1002788936897,controle,0,0,0,0,0,0,2021,7,43,2021-07-01,SIH
2021-08,BR,0301,Consultas/Atend.,950391,271616566.98,1.2083778201052038,328215435.11,285.79454874888336,345.3477938132832,controle,0,0,0,0,0,0,2021,8,44,2021-08-01,SIH
