competencia,uf,cod_subgrupo,nome_subgrupo,qtd_aprovada,valor_total,deflator,valor_total_real,valor_medio,valor_medio_real,grupo_did,tratado,pos_2023,pos_2024,pos_2025,did_2023,did_2024,ano,mes,tempo,data
2018-01,BR,0201,Anatomia patol<c3><b3>gica,2136636,31641125.31,1.4400473769328803,45564719.51,14.808851535778672,21.325447811419444,controle,0,0,0,0,0,0,2018,1,1,2018-01-01
2018-02,BR,0201,Anatomia patol<c3><b3>gica,2270181,31886210.1,1.435453924374881,45771185.42,14.045668649327961,20.161910182492058,controle,0,0,0,0,0,0,2018,2,2,2018-02-01
2018-03,BR,0201,Anatomia patol<c3><b3>gica,2246256,33936466.04,1.4341631775151176,48670429.97,15.108013530069591,21.66735669042175,controle,0,0,0,0,0,0,2018,3,3,2018-03-01
2018-04,BR,0201,Anatomia patol<c3><b3>gica,2265077,33754181.37,1.4310149446369165,48302737.98,14.902001728859547,21.324987177036363,controle,0,0,0,0,0,0,2018,4,4,2018-04-01
2018-05,BR,0201,Anatomia patol<c3><b3>gica,2311211,32740942.83,1.4253136898774068,46666114.04,14.16614183213908,20.19119588821618,controle,0,0,0,0,0,0,2018,5,5,2018-05-01
2018-06,BR,0201,Anatomia patol<c3><b3>gica,2353682,33041752.91,1.407578204500698,46508851.23,14.038325020117416,19.76004032405397,controle,0,0,0,0,0,0,2018,6,6,2018-06-01
2018-07,BR,0201,Anatomia patol<c3><b3>gica,2235722,35364723.4,1.4029484745347331,49614884.75,15.818032563977095,22.19188465739479,controle,0,0,0,0,0,0,2018,7,7,2018-07-01
2018-08,BR,0201,Anatomia patol<c3><b3>gica,2260197,36248963.84,1.4042122655737497,50901239.64,16.037966531235995,22.52070931870098,controle,0,0,0,0,0,0,2018,8,8,2018-08-01
2018-09,BR,0201,Anatomia patol<c3><b3>gica,2225190,33583766.08,1.3975042451968052,46933455.67,15.092538650632081,21.091886836629683,controle,0,0,0,0,0,0,2018,9,9,2018-09-01
2018-10,BR,0201,Anatomia patol<c3><b3>gica,2196021,31312928.73,1.391243648777307,43563913.22,14.258938657690432,19.83765784571277,controle,0,0,0,0,0,0,2018,10,10,2018-10-01
2018-11,BR,0201,Anatomia patol<c3><b3>gica,2275776,35048045.24,1.394171408735652,48862982.61,15.40048108425434,21.470910410339155,controle,0,0,0,0,0,0,2018,11,11,2018-11-01
2018-12,BR,0201,Anatomia patol<c3><b3>gica,2237187,33453488.41,1.392083283809937,46570042,14.953371537560338,20.81633855372841,controle,0,0,0,0,0,0,2018,12,12,2018-12-01
2019-01,BR,0201,Anatomia patol<c3><b3>gica,2260120,33038841.24,1.387642826764291,45846111.05,14.618180114330212,20.284812775427852,controle,0,0,0,0,0,0,2019,1,13,2019-01-01
2019-02,BR,0201,Anatomia patol<c3><b3>gica,2218148,32874167.36,1.3817015102701298,45422286.69,14.820547303426101,20.477572592090336,controle,0,0,0,0,0,0,2019,2,14,2019-02-01
2019-03,BR,0201,Anatomia patol<c3><b3>gica,2285605,32615889.55,1.3714158910869771,44729949.23,14.27013396890539,19.570288492543547,controle,0,0,0,0,0,0,2019,3,15,2019-03-01
2019-04,BR,0201,Anatomia patol<c3><b3>gica,2264514,33805845.13,1.3636431252729215,46099108.31,14.928521144051219,20.35717523053512,controle,0,0,0,0,0,0,2019,4,16,2019-04-01
2019-05,BR,0201,Anatomia patol<c3><b3>gica,2304944,32375809.17,1.361872690774914,44091730.35,14.046245448913293,19.129198084638933,controle,0,0,0,0,0,0,2019,5,17,2019-05-01
2019-06,BR,0201,Anatomia patol<c3><b3>gica,2328603,33080107.31,1.3617365171232017,45046390.11,14.20598844457385,19.344813224924987,controle,0,0,0,0,0,0,2019,6,18,2019-06-01
2019-07,BR,0201,Anatomia patol<c3><b3>gica,2325620,33065238.33,1.3591541242870564,44940755.05,14.217816466146662,19.32420388971543,controle,0,0,0,0,0,0,2019,7,19,2019-07-01
