competencia,cod_subgrupo,nome_subgrupo,valor_referencia,deflator,valor_real,grupo_did,tratado,pos_2023,pos_2024,pos_2025,did_2023,did_2024,ano,mes,tempo,data
2018-01,0201,Anatomia patol<c3><b3>gica,15,1.4400473769328803,21.6,controle,0,0,0,0,0,0,2018,1,1,2018-01-01
2018-02,0201,Anatomia patol<c3><b3>gica,15,1.435453924374881,21.53,controle,0,0,0,0,0,0,2018,2,2,2018-02-01
2018-03,0201,Anatomia patol<c3><b3>gica,15,1.4341631775151176,21.51,controle,0,0,0,0,0,0,2018,3,3,2018-03-01
2018-04,0201,Anatomia patol<c3><b3>gica,15,1.4310149446369165,21.47,controle,0,0,0,0,0,0,2018,4,4,2018-04-01
2018-05,0201,Anatomia patol<c3><b3>gica,15,1.4253136898774068,21.38,controle,0,0,0,0,0,0,2018,5,5,2018-05-01
2018-06,0201,Anatomia patol<c3><b3>gica,15,1.407578204500698,21.11,controle,0,0,0,0,0,0,2018,6,6,2018-06-01
2018-07,0201,Anatomia patol<c3><b3>gica,15,1.4029484745347331,21.04,controle,0,0,0,0,0,0,2018,7,7,2018-07-01
2018-08,0201,Anatomia patol<c3><b3>gica,15,1.4042122655737497,21.06,controle,0,0,0,0,0,0,2018,8,8,2018-08-01
2018-09,0201,Anatomia patol<c3><b3>gica,15,1.3975042451968052,20.96,controle,0,0,0,0,0,0,2018,9,9,2018-09-01
2018-10,0201,Anatomia patol<c3><b3>gica,15,1.391243648777307,20.87,controle,0,0,0,0,0,0,2018,10,10,2018-10-01
2018-11,0201,Anatomia patol<c3><b3>gica,15,1.394171408735652,20.91,controle,0,0,0,0,0,0,2018,11,11,2018-11-01
2018-12,0201,Anatomia patol<c3><b3>gica,15,1.392083283809937,20.88,controle,0,0,0,0,0,0,2018,12,12,2018-12-01
2019-01,0201,Anatomia patol<c3><b3>gica,15,1.387642826764291,20.81,controle,0,0,0,0,0,0,2019,1,13,2019-01-01
2019-02,0201,Anatomia patol<c3><b3>gica,15,1.3817015102701298,20.73,controle,0,0,0,0,0,0,2019,2,14,2019-02-01
2019-03,0201,Anatomia patol<c3><b3>gica,15,1.3714158910869771,20.57,controle,0,0,0,0,0,0,2019,3,15,2019-03-01
2019-04,0201,Anatomia patol<c3><b3>gica,15,1.3636431252729215,20.45,controle,0,0,0,0,0,0,2019,4,16,2019-04-01
2019-05,0201,Anatomia patol<c3><b3>gica,15,1.361872690774914,20.43,controle,0,0,0,0,0,0,2019,5,17,2019-05-01
2019-06,0201,Anatomia patol<c3><b3>gica,15,1.3617365171232017,20.43,controle,0,0,0,0,0,0,2019,6,18,2019-06-01
2019-07,0201,Anatomia patol<c3><b3>gica,15,1.3591541242870564,20.39,controle,0,0,0,0,0,0,2019,7,19,2019-07-01
2019-08,0201,Anatomia patol<c3><b3>gica,15,1.3576606975197845,20.36,controle,0,0,0,0,0,0,2019,8,20,2019-08-01
2019-09,0201,Anatomia patol<c3><b3>gica,15,1.358203979111429,20.37,controle,0,0,0,0,0,0,2019,9,21,2019-09-01
2019-10,0201,Anatomia patol<c3><b3>gica,15,1.3568471319794495,20.35,controle,0,0,0,0,0,0,2019,10,22,2019-10-01
2019-11,0201,Anatomia patol<c3><b3>gica,15,1.349962324126405,20.25,controle,0,0,0,0,0,0,2019,11,23,2019-11-01
2019-12,0201,Anatomia patol<c3><b3>gica,15,1.334614260134854,20.02,controle,0,0,0,0,0,0,2019,12,24,2019-12-01
2020-01,0201,Anatomia patol<c3><b3>gica,15,1.3318174435034964,19.98,controle,0,0,0,0,0,0,2020,1,25,2020-01-01
2020-02,0201,Anatomia patol<c3><b3>gica,15,1.3284962029960066,19.93,controle,0,0,0,0,0,0,2020,2,26,2020-02-01
2020-03,0201,Anatomia patol<c3><b3>gica,15,1.3275669061616937,19.91,controle,0,0,0,0,0,0,2020,3,27,2020-03-01
2020-04,0201,Anatomia patol<c3><b3>gica,15,1.3316951611612935,19.98,controle,0,0,0,0,0,0,2020,4,28,2020-04-01
2020-05,0201,Anatomia patol<c3><b3>gica,15,1.3367749058033465,20.05,controle,0,0,0,0,0,0,2020,5,29,2020-05-01
2020-06,0201,Anatomia patol<c3><b3>gica,15,1.333308304212394,20,controle,0,0,0,0,0,0,2020,6,30,2020-06-01
2020-07,0201,Anatomia patol<c3><b3>gica,15,1.328525612009161,19.93,controle,0,0,0,0,0,0,2020,7,31,2020-07-01
2020-08,0201,Anatomia patol<c3><b3>gica,15,1.325344784526298,19.88,controle,0,0,0,0,0,0,2020,8,32,2020-08-01
2020-09,0201,Anatomia patol<c3><b3>gica,15,1.3169165188059402,19.75,controle,0,0,0,0,0,0,2020,9,33,2020-09-01
2020-10,0201,Anatomia patol<c3><b3>gica,15,1.3056876053995046,19.59,controle,0,0,0,0,0,0,2020,10,34,2020-10-01
2020-11,0201,Anatomia patol<c3><b3>gica,15,1.2941694968772963,19.41,controle,0,0,0,0,0,0,2020,11,35,2020-11-01
2020-12,0201,Anatomia patol<c3><b3>gica,15,1.2769309293313236,19.15,controle,0,0,0,0,0,0,2020,12,36,2020-12-01
2021-01,0201,Anatomia patol<c3><b3>gica,15,1.2737465629240137,19.11,controle,0,0,0,0,0,0,2021,1,37,2021-01-01
