competencia,uf,cod_subgrupo,nome_subgrupo,qtd_aprovada,valor_total,deflator,valor_total_real,valor_medio,valor_medio_real,grupo_did,tratado,pos_2023,pos_2024,pos_2025,did_2023,did_2024,ano,mes,tempo,data
2018-01,BR,0301,Consultas/Atend.,846639,226919413.82,1.4400473769328803,326774706.65,268.02381395140077,385.96699024023224,controle,0,0,0,0,0,0,2018,1,1,2018-01-01
2018-02,BR,0301,Consultas/Atend.,853937,240015537.3,1.435453924374881,344531244.93,281.0693731504783,403.46213471251394,controle,0,0,0,0,0,0,2018,2,2,2018-02-01
2018-03,BR,0301,Consultas/Atend.,869025,250967092.61,1.4341631775151176,359927762.99,288.7915682632836,414.1742331808636,controle,0,0,0,0,0,0,2018,3,3,2018-03-01
2018-04,BR,0301,Consultas/Atend.,889765,260051871.11,1.4310149446369165,372138113.94,292.27028609801465,418.2431472804617,controle,0,0,0,0,0,0,2018,4,4,2018-04-01
2018-05,BR,0301,Consultas/Atend.,933199,259325175.18,1.4253136898774068,369619722.31,277.8883980587206,396.07813800700603,controle,0,0,0,0,0,0,2018,5,5,2018-05-01
2018-06,BR,0301,Consultas/Atend.,941916,243559972.64,1.407578204500698,342829708.98,258.57929225111366,363.9705759112278,controle,0,0,0,0,0,0,2018,6,6,2018-06-01
2018-07,BR,0301,Consultas/Atend.,893988,270543795.86,1.4029484745347331,379559005.7,302.62575768354833,424.5683451008291,controle,0,0,0,0,0,0,2018,7,7,2018-07-01
2018-08,BR,0301,Consultas/Atend.,852694,260083114.03,1.4042122655737497,365211898.79,305.013421027942,428.3035869725834,controle,0,0,0,0,0,0,2018,8,8,2018-08-01
2018-09,BR,0301,Consultas/Atend.,825445,226049264.05,1.3975042451968052,315904806.13,273.851394157091,382.708485883372,controle,0,0,0,0,0,0,2018,9,9,2018-09-01
2018-10,BR,0301,Consultas/Atend.,874364,261274161.61,1.391243648777307,363496017.93,298.8162385573972,415.72619404504303,controle,0,0,0,0,0,0,2018,10,10,2018-10-01
2018-11,BR,0301,Consultas/Atend.,842520,230626423.46,1.394171408735652,321532765.69,273.7340638323126,381.6322053957176,controle,0,0,0,0,0,0,2018,11,11,2018-11-01
2018-12,BR,0301,Consultas/Atend.,834199,249127942.63,1.392083283809937,346806844.47,298.6433004954453,415.73634644731055,controle,0,0,0,0,0,0,2018,12,12,2018-12-01
