competencia,uf,cod_subgrupo,nome_subgrupo,qtd_aprovada,valor_total
2018-01,BR,0201,Anatomia patol<c3><b3>gica,2136636,31641125.31
2018-02,BR,0201,Anatomia patol<c3><b3>gica,2270181,31886210.1
2018-03,BR,0201,Anatomia patol<c3><b3>gica,2246256,33936466.04
2018-04,BR,0201,Anatomia patol<c3><b3>gica,2265077,33754181.37
2018-05,BR,0201,Anatomia patol<c3><b3>gica,2311211,32740942.83
2018-06,BR,0201,Anatomia patol<c3><b3>gica,2353682,33041752.91
2018-07,BR,0201,Anatomia patol<c3><b3>gica,2235722,35364723.4
2018-08,BR,0201,Anatomia patol<c3><b3>gica,2260197,36248963.84
2018-09,BR,0201,Anatomia patol<c3><b3>gica,2225190,33583766.08
2018-10,BR,0201,Anatomia patol<c3><b3>gica,2196021,31312928.73
2018-11,BR,0201,Anatomia patol<c3><b3>gica,2275776,35048045.24
2018-12,BR,0201,Anatomia patol<c3><b3>gica,2237187,33453488.41
2019-01,BR,0201,Anatomia patol<c3><b3>gica,2260120,33038841.24
2019-02,BR,0201,Anatomia patol<c3><b3>gica,2218148,32874167.36
2019-03,BR,0201,Anatomia patol<c3><b3>gica,2285605,32615889.55
2019-04,BR,0201,Anatomia patol<c3><b3>gica,2264514,33805845.13
2019-05,BR,0201,Anatomia patol<c3><b3>gica,2304944,32375809.17
2019-06,BR,0201,Anatomia patol<c3><b3>gica,2328603,33080107.31
2019-07,BR,0201,Anatomia patol<c3><b3>gica,2325620,33065238.33
2019-08,BR,0201,Anatomia patol<c3><b3>gica,2326245,34280411.29
2019-09,BR,0201,Anatomia patol<c3><b3>gica,2281358,33664485.73
2019-10,BR,0201,Anatomia patol<c3><b3>gica,2203064,32807774.23
2019-11,BR,0201,Anatomia patol<c3><b3>gica,2280803,35621852.38
2019-12,BR,0201,Anatomia patol<c3><b3>gica,2237021,34162362.81
2020-01,BR,0201,Anatomia patol<c3><b3>gica,2306858,34483293.57
2020-02,BR,0201,Anatomia patol<c3><b3>gica,2269923,34586406.14
2020-03,BR,0201,Anatomia patol<c3><b3>gica,1049203,15173155.04
