competencia,uf,cod_subgrupo,nome_subgrupo,qtd_aprovada,valor_total
2018-01,BR,0301,Consultas/Atend.,846639,226919413.82
2018-02,BR,0301,Consultas/Atend.,853937,240015537.3
2018-03,BR,0301,Consultas/Atend.,869025,250967092.61
2018-04,BR,0301,Consultas/Atend.,889765,260051871.11
2018-05,BR,0301,Consultas/Atend.,933199,259325175.18
2018-06,BR,0301,Consultas/Atend.,941916,243559972.64
2018-07,BR,0301,Consultas/Atend.,893988,270543795.86
2018-08,BR,0301,Consultas/Atend.,852694,260083114.03
2018-09,BR,0301,Consultas/Atend.,825445,226049264.05
2018-10,BR,0301,Consultas/Atend.,874364,261274161.61
2018-11,BR,0301,Consultas/Atend.,842520,230626423.46
2018-12,BR,0301,Consultas/Atend.,834199,249127942.63
2019-01,BR,0301,Consultas/Atend.,768729,232747832.44
2019-02,BR,0301,Consultas/Atend.,853919,236025951.62
2019-03,BR,0301,Consultas/Atend.,823350,227391213.88
2019-04,BR,0301,Consultas/Atend.,939198,270337635.7
2019-05,BR,0301,Consultas/Atend.,962218,260445397.2
2019-06,BR,0301,Consultas/Atend.,906936,268401175.12
2019-07,BR,0301,Consultas/Atend.,865095,250814832.77
2019-08,BR,0301,Consultas/Atend.,873244,245213136.49
2019-09,BR,0301,Consultas/Atend.,890334,262234060.81
2019-10,BR,0301,Consultas/Atend.,862064,226387092.88
2019-11,BR,0301,Consultas/Atend.,827611,240685392.34
2019-12,BR,0301,Consultas/Atend.,820732,213281022.52
2020-01,BR,0301,Consultas/Atend.,825818,217235536.79
2020-02,BR,0301,Consultas/Atend.,878326,239807097.53
2020-03,BR,0301,Consultas/Atend.,488286,138951461.15
2020-04,BR,0301,Consultas/Atend.,485681,139951595.63
2020-05,BR,0301,Consultas/Atend.,522116,138406367.89
2020-06,BR,0301,Consultas/Atend.,493900,132904651.75
2020-07,BR,0301,Consultas/Atend.,707427,186534293.06
2020-08,BR,0301,Consultas/Atend.,718097,210480895.26
2020-09,BR,0301,Consultas/Atend.,662808,194641907.45
2020-10,BR,0301,Consultas/Atend.,749943,198105566.16
2020-11,BR,0301,Consultas/Atend.,713208,217369764.59
2020-12,BR,0301,Consultas/Atend.,765242,224263175.55
2021-01,BR,0301,Consultas/Atend.,691445,197822758.39
2021-02,BR,0301,Consultas/Atend.,724608,200972179.48
2021-03,BR,0301,Consultas/Atend.,725015,182759843.41
2021-04,BR,0301,Consultas/Atend.,807470,240965810.52
2021-05,BR,0301,Consultas/Atend.,823244,233895681.21
2021-06,BR,0301,Consultas/Atend.,844775,231568447.84
2021-07,BR,0301,Consultas/Atend.,988728,262089365.91
2021-08,BR,0301,Consultas/Atend.,950391,271616566.98
2021-09,BR,0301,Consultas/Atend.,921525,276113802.54
2021-10,BR,0301,Consultas/Atend.,896290,231572871.72
2021-11,BR,0301,Consultas/Atend.,894473,232842958.97
2021-12,BR,0301,Consultas/Atend.,834096,246595992.5
2022-01,BR,0301,Consultas/Atend.,894677,233984069.66
2022-02,BR,0301,Consultas/Atend.,939343,244556104.18
2022-03,BR,0301,Consultas/Atend.,936883,276955105.25
2022-04,BR,0301,Consultas/Atend.,937712,277043449.34
2022-05,BR,0301,Consultas/Atend.,938054,243518792.73
