uf,estimate,se,pvalue,ci_low,ci_high,sig
SP,0.11358280762894427,0.01477725036972655,3.338104809405335e-14,0.08461939690428022,0.1425462183536083,p < 0.05
RJ,0.12783339553880477,0.015146572650235302,9.89156350211042e-17,0.09814611314434357,0.15752067793326596,p < 0.05
MG,0.12275939719009607,0.015566987470779508,7.476605210989067e-15,0.09224810174736824,0.1532706926328239,p < 0.05
BA,0.12491792389680366,0.014742191663687742,7.539071576714619e-17,0.09602322823597569,0.15381261955763165,p < 0.05
RS,0.10314453942382178,0.015064402852926713,1.25108117844434e-11,0.07361830983208542,0.13267076901555813,p < 0.05
PR,0.11538506342793473,0.014794265381210673,1.436714342805098e-14,0.0863883032807618,0.14438182357510765,p < 0.05
PE,0.12691046330246328,0.014715778341796088,2.217918096855468e-17,0.09806753775254294,0.1557533888523836,p < 0.05
CE,0.10899028166429987,0.0151357661154984,1.1060359407223734e-12,0.07932418007792301,0.13865638325067672,p < 0.05
PA,0.1001821444836841,0.014864071531732423,2.5505575685803842e-11,0.07104856428148855,0.12931572468587965,p < 0.05
GO,0.09073275485375407,0.01518026540076079,3.065149927786351e-9,0.060979434668262916,0.12048607503924522,p < 0.05
MA,0.13112058434888002,0.014414691932452933,4.2537071831923694e-19,0.10286778816127227,0.15937338053648778,p < 0.05
SC,0.10994431729116062,0.014528391795489107,8.006109340229232e-14,0.08146866937200198,0.13841996521031927,p < 0.05
AM,0.1145713088198924,0.015025989886047397,5.256549169451428e-14,0.0851203686432395,0.1440222489965453,p < 0.05
DF,0.10540526506392241,0.014998767706708934,3.675125939010607e-12,0.0760076803587729,0.13480284976907192,p < 0.05
ES,0.12415209498182156,0.015081819676925531,5.164084538581489e-16,0.09459172841504751,0.1537124615485956,p < 0.05
